censored_proportion,events_proportion,ijk_std,ijk_std_rel_error(%),ijk_std_cv,jkab_std,jkab_std_rel_error(%),jkab_std_cv,True_Y,RF_Y_pred,rf_emp_std,ijk_biased_std,ijk_biased_std_rel_error(%),ijk_biased_std_cv,events_bin
0.1,0.09,0.0139,0.4173,0.5035971223021584,0.0203,46.8347,0.5517241379310345,0.9458,0.9302,0.0138,0.0437,216.8375,0.6109839816933639,EE1
0.1,0.18,0.0241,-1.1827,0.3900414937759336,0.0331,35.4674,0.3987915407854985,0.8822,0.8515,0.0244,0.069,182.3586,0.38405797101449274,EE2
0.1,0.27,0.0332,-1.7956,0.35542168674698793,0.0447,32.3502,0.348993288590604,0.813,0.7679,0.0338,0.0924,173.359,0.31926406926406925,EE3
0.1,0.36,0.042,-2.9119,0.3476190476190476,0.0559,29.0575,0.3291592128801431,0.7378,0.6799,0.0433,0.1131,161.1973,0.28470380194518125,EE4
0.3,0.07,0.0145,4.9422,0.5862068965517242,0.0312,126.2739,0.653846153846154,0.9528,0.9393,0.0138,0.0416,201.7123,0.6778846153846154,EE1
0.3,0.14,0.0254,1.5449,0.4921259842519686,0.0512,104.7983,0.49804687499999994,0.897,0.8691,0.025,0.0668,167.5756,0.48952095808383234,EE2
0.3,0.21,0.0352,2.8591,0.39204545454545453,0.0695,103.0267,0.38129496402877694,0.8348,0.7938,0.0342,0.0891,160.345,0.3849607182940516,EE3
0.3,0.28,0.0446,3.187,0.37668161434977576,0.0875,102.2198,0.3451428571428572,0.7677,0.7141,0.0433,0.11,154.3393,0.3390909090909091,EE4
0.5,0.05,0.0163,11.5739,0.8895705521472393,0.0491,235.0514,0.9979633401221997,0.961,0.9498,0.0147,0.041,180.1024,0.9707317073170731,EE1
0.5,0.1,0.0268,12.2365,0.6194029850746269,0.0758,217.6037,0.662269129287599,0.9179,0.8947,0.0239,0.0628,162.8801,0.6512738853503185,EE2
0.5,0.15,0.0378,19.3099,0.5132275132275133,0.1052,232.2152,0.5152091254752852,0.8684,0.8338,0.0317,0.0852,169.0923,0.5129107981220657,EE3
0.5,0.2,0.0465,15.6706,0.43870967741935485,0.1298,223.1559,0.41602465331278893,0.8145,0.7691,0.0402,0.1036,157.8574,0.4111969111969112,EE4
0.7,0.03,0.0189,26.271,1.2116402116402116,0.0958,538.7932,1.2661795407098122,0.9704,0.9624,0.015,0.04,167.0934,1.2375,EE1
0.7,0.06,0.0298,37.5402,0.7449664429530202,0.1467,577.7958,0.8561690524880708,0.9395,0.9224,0.0216,0.0593,173.8959,0.8178752107925802,EE2
0.7,0.09,0.0425,38.4502,0.5788235294117646,0.2186,611.6947,0.6527904849039341,0.9011,0.8737,0.0307,0.081,163.6488,0.6160493827160494,EE3
0.7,0.12,0.0558,38.7414,0.5842293906810035,0.3261,710.153,0.6016559337626496,0.862,0.8249,0.0402,0.1044,159.2948,0.5862068965517241,EE4
