censored_proportion,events_proportion,ijk_std,ijk_std_rel_error(%),ijk_std_cv,jkab_std,jkab_std_rel_error(%),jkab_std_cv,True_Y,RF_Y_pred,rf_emp_std,ijk_biased_std,ijk_biased_std_rel_error(%),ijk_biased_std_cv,events_bin
0.1,0.09,0.0177,2.8085,0.4915254237288135,0.0193,11.7734,0.5077720207253885,0.9458,0.9346,0.0172,0.0263,52.6274,0.5437262357414449,EE1
0.1,0.18,0.0302,5.1108,0.3841059602649006,0.0322,11.9464,0.4006211180124224,0.8822,0.8551,0.0288,0.0427,48.3169,0.3934426229508196,EE2
0.1,0.27,0.041,3.1722,0.324390243902439,0.0434,9.1987,0.3317972350230415,0.813,0.7707,0.0398,0.0563,41.586,0.31438721136767317,EE3
0.1,0.36,0.0503,5.2259,0.2803180914512923,0.0531,11.1554,0.2806026365348399,0.7378,0.6827,0.0478,0.068,42.1385,0.2602941176470588,EE4
0.3,0.07,0.0186,8.3853,0.6182795698924731,0.0226,31.44,0.6460176991150443,0.9528,0.9435,0.0172,0.0261,52.0075,0.6551724137931034,EE1
0.3,0.14,0.032,9.7757,0.459375,0.0373,28.1572,0.47184986595174266,0.897,0.8734,0.0291,0.0429,47.2381,0.4662004662004662,EE2
0.3,0.21,0.0437,11.3431,0.3524027459954233,0.0507,29.1426,0.358974358974359,0.8348,0.7973,0.0393,0.0574,46.028,0.3466898954703833,EE3
0.3,0.28,0.0544,7.7577,0.34742647058823534,0.0633,25.2727,0.344391785150079,0.7677,0.7185,0.0505,0.0702,38.9684,0.3319088319088319,EE4
0.5,0.05,0.0209,7.5707,0.9808612440191389,0.0298,53.4842,0.9832214765100671,0.961,0.9533,0.0194,0.0275,41.8063,0.9636363636363636,EE1
0.5,0.1,0.0328,21.2578,0.5152439024390243,0.0443,63.6953,0.5711060948081265,0.9179,0.9005,0.0271,0.0416,53.8312,0.5264423076923077,EE2
0.5,0.15,0.0457,19.8879,0.43763676148796504,0.061,60.0553,0.4639344262295082,0.8684,0.8397,0.0381,0.0568,48.9922,0.43661971830985913,EE3
0.5,0.2,0.0575,19.2981,0.40695652173913044,0.0766,58.9283,0.3981723237597911,0.8145,0.7746,0.0482,0.0706,46.4943,0.39660056657223797,EE4
0.7,0.03,0.0251,-24.583,1.4621513944223108,0.0524,57.4816,1.4236641221374045,0.9704,0.9648,0.0332,0.0307,,1.3941368078175895,EE1
0.7,0.06,0.0377,28.2614,0.8726790450928382,0.074,151.3686,0.8972972972972973,0.9395,0.928,0.0294,0.0447,51.9267,0.8635346756152127,EE2
0.7,0.09,0.0547,19.974,0.716636197440585,0.1108,143.1537,0.7518050541516246,0.9011,0.8784,0.0456,0.0635,39.3555,0.705511811023622,EE3
0.7,0.12,0.0698,27.9196,0.5959885386819483,0.1553,184.5199,0.634900193174501,0.862,0.8307,0.0546,0.0805,47.4542,0.5900621118012422,EE4
